,Title,Price,ColoursAvailable,ReviewTopic,Reviews,UserID,Date,VerifiedPurchaser,IncentivizedReview
139,Samba Classic,90,2,"It's an overall good shoe, very comfortable",It's a great shoe overall comfortable and flexivle,Eli007 ," July 23, 2023",False,False
140,Samba Classic,90,2,Pretty all around good shoe for any occasion,Nothing more to say but the shoe is very cheap and good quality shoe,Bigmikw ," July 23, 2023",False,False
141,Samba Classic,90,2,amazing,"lightweight and extremely comfortable, not much of a break-in period, took me about a week.",Dali ," July 23, 2023 ",True,True
147,Samba Classic,90,2,Classic samba is always a dance worth having.,"Once a classic, always a classic.  Sad to see that it's getting pricier but that might just be inflation or because it's trendy on TikTok now.. either way glad it hasn't changed much over the years.  Nice arch support and solid grip for shifty movements (indoor soccer, skateboarding)",Rah32 ," July 23, 2023 ",True,True
148,Samba Classic,90,2,best shoes I ordered it,I recommend everyone to buy it. It was to soft and beautiful,Jak222 ," July 22, 2023",False,False
149,Samba Classic,90,2,Very good soccer shoe and also fashionable,Love how easy it goes with any outfits and super easy to put on,Edgar ," July 22, 2023",False,False
150,Samba Classic,90,2,Very good quality,Good quality for playing in indoor fields and for style,ElSeuno ," July 22, 2023",False,False
151,Samba Classic,90,2,Love this shoe,Nice shoe and color and I love adidas so bad can’t wait to buy more,Rd83 ," July 22, 2023",False,False
152,Samba Classic,90,2,It’s the perfect shoe to style with in the summer,"The quality of the shoe is just amazing, the leather is great and the shoe is really comfy. It’s a great shoe to style with for the summer",Az29 ," July 20, 2023",False,False
153,Samba Classic,90,2,BLACK SAMBA CLASSIC Upper FULL synthetic,"Black Samba Classic looks great with a FULL SYNTHETIC UPPER, but the WHITE SAMBA CLASSIC is superior quality with a FULL LEATHER upper,(one of my 22 pair of Adidas)

Too bad that the BLACK SAMABA Classic upper is FULL SYNTHETIC/PLASTIC (NOT leather) I was going to buy it at the outlet but not being  leather (AT ALL) I decided that the FULL LEATHER UPPER of the white SAMBA CLASSIC was the REAL, not SYNTHETIC value and the only  HONESTLY marketed SAMBA CLASSIC.
Loving my SAMBA OG's, Mundial Goals. Superstars. Gazelles, Busenitz etc. Sorry Adidas, this SAMBA CLASSIC in BLACK is not honestly marketed...just sayin",65strad ," July 19, 2023",False,False
154,Samba Classic,90,2,best,best purchase i have ever made in my whole entire life,hahH83 ," July 19, 2023",False,False
155,Samba Classic,90,2,Good quality and comfortable,Shoe fit a bit narrow but I just went a half size up,Philip32 ," July 19, 2023",False,False
156,Samba Classic,90,2,Super classic and beautiful shoe,This is a classic that goes with everything and now everyone is wearing. Summer ‘23 Shoe.,jorgesidav ," July 19, 2023 ",True,True
157,Samba Classic,90,2,Easily one of the best daily beaters!,"Best shoe you can use to collaborate with any outfit, truly the best overall universal shoe.",Universal ," July 18, 2023",False,False
158,Samba Classic,90,2,i would stay true to size or go up .5,comfortable and good quality. i definitely recommend buying these,wompeok ," July 18, 2023",False,False
159,Samba Classic,90,2,Mad comfy,"Fire shoes, good fit, these arent only good for being a tiktok blokecore poser but also good for futsal and workouts #staywoke",Ligma80085 ," July 17, 2023",False,False
160,Samba Classic,90,2,Great shoe!!,Really nice quality shoe and very comfortable to wear.,Emmalee ," July 17, 2023",False,False
161,Samba Classic,90,2,These are very nice but do run a bit small,"Once you get your perfect size, they are very comfortable",glittercrocs ," July 17, 2023",False,False
162,Samba Classic,90,2,Best style!,Shoes are not only stylish but they are also very comfortable!,Noah ," July 17, 2023 ",False,True
163,Samba Classic,90,2,NARROW,Make a wide version. This is for models to do their catwalk. Incredible narrow,GK13 ," July 16, 2023 ",False,True
164,Samba Classic,90,2,Awesome purchase.,"Very simple silhouette, very stylish and comfortable",Petcow02 ," July 16, 2023 ",True,True
165,Samba Classic,90,2,Great looking shoes but they run a little big,Highly recommend them. Looks good with everything!,Gizzy ," July 16, 2023",False,False
166,Samba Classic,90,2,The quality you expect in Ultraboost.,Fantastic quality and a comfortable shoe. Ultraboost always fit well and provide great comfort.,JR007 ," July 15, 2023",False,False
167,Samba Classic,90,2,The adidas samba is a reliable shoe,It is really good if your trying to play soccer on concrete or inside plus its very stylish,vine07 ," July 14, 2023",False,False
168,Samba Classic,90,2,I love the look and feel of these shoes!!,"They fit just as expected! I feel like I struggle walking in them somewhat, but that’s honestly probably just because I don’t want to crease them like an insane amount. Overall, the quality is nice, and these look great!!",Hay10 ," July 14, 2023",False,False
169,Samba Classic,90,2,Very happy,A long time ago I wanted these sneakers and now that I have them I can't stop wearing them I'm very happy,Wolf ," July 14, 2023 ",False,True
170,Samba Classic,90,2,Affordable and stylish,Goes well with everything and is easy to match with clothes I own,Ace10 ," July 13, 2023 ",False,True
171,Samba Classic,90,2,Amazing,"It was very comfortable, they work very well for my basketball games",Lexi ," July 13, 2023",False,False
172,Samba Classic,90,2,Surprisingly comfortable,Greatttttttttttttttttttttttttttttttttttttttttttttt,Nycwalker ," July 12, 2023",False,False
173,Samba Classic,90,2,fits well and looks great on my feet.,feel great and comfy on my feet and it goes with everything in my wardrobe.,oharris ," July 12, 2023 ",True,True
174,Samba Classic,90,2,"Wow, what a great pair of shoes.",My everyday wear. I never leave the house without them.,Pooks ," July 12, 2023",False,False
175,Samba Classic,90,2,Is ok for indoor soccer,Good quality for this price the shoes is good cuality is ok,Robles21 ," July 12, 2023",False,False
176,Samba Classic,90,2,I look sexy in them,"They match everything no matter what you wear, perfect for every occasion",Kami ," July 11, 2023",False,False
177,Samba Classic,90,2,Perfect shoes love them,They fit perfect and very comfortable and great for summer,Nounou ," July 11, 2023",False,False
178,Samba Classic,90,2,Best flat-soled shoes for all activity.,"I am an old skateboarder. I don’t mean I picked up a skateboard when I got old - I’ve actually been skating since I was 7 or 8 years old thanks to my first grade teacher, Mrs. Anderson, having shown our classroom the movie about the Signal Hill downhill race from 1976 or 1977, when the movie was new. I have no earthly idea how an elementary school teacher got hold of a brand new film to show our class, but I digress. The point is I’ve been skating for about 45 years and have a host of injuries for which I’ve been treated and I needed some good, stabile shoes that don’t look silly (not that there’s anything wrong with that, but at my age…). 

I like most of Adidas’ skateboarding line (especially the Busenitz) however the Sambas have always held a special place in my mind - they’re classic and were made for running on the flat, level pitch, and lately, I’ve needed to avoid loads of young kids on scooters - running out has become more frequent than landing anything. As in the 80s, shoes designed for lateral stability (side to side) while running (e.g., Sambas / back and forth) make great skate shoes - I can feel my board but don’t feel pain after I run out. Since they’re so classic-looking, at least I look good running out. ;-)",oldkookskater ," July 11, 2023",False,False
